Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,68.669998,71.339996,61.540001,62.599998,2779500,62.599998
2017-01-03,67.269997,71.639999,67.110001,68.589996,1579800,68.589996
2016-12-01,66.480003,69.260002,62.830002,66.68,1436700,66.68
2016-11-01,69.389999,69.550003,64.769997,66.699997,2468600,66.699997
2016-10-03,52.959999,71.040001,52.630001,69.470001,3017700,69.470001
2016-09-01,54.82,55.830002,50.759998,52.990002,2087100,52.990002
2016-08-01,50.560001,55.939999,48.919998,54.900002,1865700,54.900002
2016-07-01,55.810001,58.470001,47.799999,50.529999,2876400,50.529999
2016-06-01,54.009998,57.169998,50.91,55.93,1705900,55.93
2016-05-02,50.75,54.779999,48.880001,54.580002,1594800,54.580002
2016-04-01,55.139999,57.50,49.799999,50.990002,2446100,50.990002
2016-03-01,54.369999,57.049999,53.900002,55.57,2097800,55.57
2016-02-01,45.50,55.599998,39.43,53.970001,4418700,53.970001
2016-01-04,51.799999,52.650002,43.279999,45.619999,3455400,45.619999
2015-12-01,57.619999,58.509998,50.560001,52.630001,2101400,52.630001
2015-11-02,60.73,63.549999,55.360001,57.610001,2089700,57.610001
2015-10-01,69.059998,76.389999,60.25,60.82,2870000,60.82
2015-09-01,69.75,75.400002,67.099998,69.059998,1909500,69.059998
2015-08-03,76.040001,76.550003,63.139999,71.309998,1852800,71.309998
2015-07-01,70.300003,76.980003,67.129997,76.709999,1984200,76.709999
2015-06-01,76.379997,76.50,69.129997,69.82,1493600,69.82
2015-05-01,73.949997,78.440002,73.75,76.269997,1357900,76.269997
2015-04-01,70.980003,77.309998,69.879997,73.779999,1675000,73.779999
2015-03-02,69.800003,73.529999,68.510002,71.050003,1500300,71.050003
