Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,176.729996,188.539993,171.729996,174.130005,2555600,174.130005
2017-01-03,166.300003,183.00,165.820007,175.070007,2059700,175.070007
2016-12-01,167.520004,173.00,160.789993,164.410004,1886700,164.410004
2016-11-01,176.75,177.350006,159.539993,166.949997,2303100,166.949997
2016-10-03,182.839996,187.240005,171.889999,176.860001,2384700,176.860001
2016-09-01,171.850006,197.800003,171.770004,182.070007,3155100,182.070007
2016-08-01,159.800003,178.880005,158.619995,171.070007,2312600,171.070007
2016-07-01,165.240005,172.759995,155.279999,159.600006,3527300,159.600006
2016-06-01,176.529999,179.00,155.279999,165.149994,3355000,165.149994
2016-05-02,185.330002,185.509995,158.380005,178.539993,6534400,178.539993
2016-04-01,188.789993,201.00,181.440002,194.300003,2641600,194.300003
2016-03-02,181.839996,193.729996,169.279999,190.880005,2397200,190.880005
