Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,31.299999,32.66,30.620001,32.27,2664700,32.27
2017-01-03,32.060001,33.450001,30.719999,31.27,3045500,31.019644
2016-12-01,31.93,33.040001,30.01,31.77,2594500,31.51564
2016-11-01,30.85,32.720001,30.52,31.959999,2571300,31.704119
2016-10-03,32.880001,33.400002,30.450001,30.74,2395600,30.245693
2016-09-01,33.950001,34.349998,31.33,33.080002,2669300,32.548065
2016-08-01,34.689999,34.990002,33.540001,33.91,2089600,33.364719
2016-07-01,32.73,34.75,32.299999,34.650002,2606100,33.83765
2016-06-01,32.23,33.580002,31.08,32.830002,2605200,32.060318
2016-05-02,29.67,32.380001,29.120001,32.32,3452800,31.562273
2016-04-01,30.60,31.10,29.49,29.66,2914900,28.726763
2016-03-01,29.50,31.27,29.190001,30.790001,2595900,29.821209
2016-02-01,28.450001,30.25,26.860001,29.290001,3866600,28.368404
2016-01-04,28.09,28.940001,25.18,28.73,4017800,27.574886
2015-12-01,28.18,29.459999,27.09,28.559999,3180600,27.41172
2015-11-02,27.700001,28.530001,26.33,28.110001,2802000,26.979815
2015-10-01,27.27,29.10,26.51,27.709999,3039600,26.348446
2015-09-01,26.67,28.360001,26.40,27.299999,2926900,25.958591
2015-08-03,29.09,29.690001,25.16,27.290001,3243200,25.949085
2015-07-01,29.49,30.82,28.450001,29.139999,2901700,27.446487
2015-06-01,29.969999,30.879999,28.959999,29.290001,2731000,27.587772
2015-05-01,31.860001,32.25,30.299999,30.450001,2951000,28.680357
2015-04-01,31.139999,32.57,30.65,31.77,2618800,29.684864
2015-03-02,32.509998,33.419998,30.17,32.610001,3066600,30.469734
