Date,Open,High,Low,Close,Adj Close,Volume
2022-01-01,24.680000,25.320000,22.520000,24.750000,24.750000,73698000
2022-02-01,24.785000,25.805000,19.900000,22.690001,22.690001,93265300
2022-03-01,22.600000,24.200001,20.094999,23.250000,23.250000,81577600
2022-04-01,23.389999,24.280001,21.530001,21.750000,21.750000,52237800
2022-05-01,21.709999,22.434999,19.070000,20.840000,20.840000,80988400
2022-06-01,20.980000,23.570000,19.559999,20.990000,20.990000,80333000
2022-07-01,21.040001,23.379999,21.020000,22.740000,22.740000,47475400
2022-08-01,22.520000,24.990000,21.360001,21.389999,21.389999,48905300
2022-09-01,21.049999,23.174999,19.879999,20.719999,20.719999,48378200
2022-10-01,20.900000,22.245001,19.219999,21.750000,21.750000,53642200
2022-11-01,21.990000,23.570000,20.420000,23.559999,23.559999,63360500
2022-12-01,23.559999,24.090000,21.940001,22.379999,22.379999,53709900
2023-01-01,22.620001,23.639000,21.764999,23.230000,23.230000,43308600
2023-02-01,23.230000,24.719999,20.280001,20.400000,20.400000,63555900
2023-03-01,20.459999,21.650000,18.711000,21.620001,21.620001,83846300
2023-04-01,21.379999,22.325001,19.930000,20.340000,20.340000,54959600
2023-05-01,20.219999,23.129999,19.545000,23.020000,23.020000,90485000
2023-06-01,22.959999,26.870001,22.930000,26.670000,26.670000,134032600
2023-07-01,26.639999,28.680000,26.080000,26.950001,26.950001,73575100
2023-08-01,26.840000,28.570000,25.629999,27.790001,27.790001,76731000
2023-09-01,28.070000,28.480000,26.299999,27.230000,27.230000,50089700
2023-10-01,27.219999,28.320000,25.780001,26.299999,26.299999,49396200
2023-11-01,26.370001,28.695000,24.280001,28.180000,28.180000,74973900
2023-12-01,28.219999,30.500000,27.405001,29.480000,29.480000,53371400
2024-01-01,29.209999,32.950001,28.370001,31.680000,31.680000,59496600
2024-02-01,31.860001,33.430000,23.230000,23.950001,23.950001,107404200
2024-03-01,24.020000,24.680000,23.450001,23.840000,23.840000,36883500
2024-03-12,23.610001,24.070000,23.495001,23.840000,23.840000,4191084
