Date,Open,High,Low,Close,Adj Close,Volume
2022-01-01,87.449997,88.169998,53.134998,64.010002,64.010002,22560400
2022-02-01,64.567001,80.839996,52.009998,58.270000,58.270000,14827000
2022-03-01,57.959999,65.269997,30.740000,54.450001,54.450001,51064600
2022-04-01,54.419998,60.590000,44.160000,47.930000,47.930000,28379800
2022-05-01,47.889999,54.779999,32.119999,38.939999,38.939999,35026600
2022-06-01,39.540001,57.950001,38.009998,53.139999,53.139999,48582700
2022-07-01,52.779999,60.821999,51.250000,57.400002,57.400002,31568000
2022-08-01,56.820000,70.959999,55.990002,59.869999,59.869999,33217700
2022-09-01,57.730000,62.119999,46.389999,51.220001,51.220001,50753200
2022-10-01,51.410000,57.090000,41.669998,48.459999,48.459999,28852400
2022-11-01,49.830002,50.150002,33.875000,39.549999,39.549999,35035200
2022-12-01,39.310001,52.320000,37.610001,45.439999,45.439999,57050400
2023-01-01,46.919998,52.900002,37.345001,49.410000,49.410000,30979000
2023-02-01,49.970001,58.700001,41.299999,44.040001,44.040001,44854000
2023-03-01,44.119999,53.439999,30.920000,34.290001,34.290001,94357200
2023-04-01,33.860001,35.200001,30.020000,30.360001,30.360001,39063700
2023-05-01,30.299999,37.400002,26.240000,36.959999,36.959999,53721100
2023-06-01,36.090000,53.790001,33.090000,51.110001,51.110001,91146800
2023-07-01,51.299999,54.599998,46.389999,49.630001,49.630001,31327000
2023-08-01,48.830002,49.340000,41.610001,47.369999,47.369999,25710400
2023-09-01,48.020000,54.380001,41.689999,45.220001,45.220001,53333500
2023-10-01,45.060001,49.799999,41.160000,43.279999,43.279999,26990500
2023-11-01,43.279999,50.080002,40.189999,48.340000,48.340000,31160200
2023-12-01,48.880001,67.550003,48.705002,62.959999,62.959999,75879700
2024-01-01,61.590000,75.160004,56.400002,71.110001,71.110001,44836900
2024-02-01,72.250000,78.529999,66.089996,72.120003,72.120003,43082000
2024-03-01,71.550003,76.410004,56.105000,57.240002,57.240002,57343300
2024-03-12,57.180000,58.360001,56.549999,57.240002,57.240002,3141028
