Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,13.95,15.30,13.42,15.14,7715100,15.14
2017-01-03,14.78,15.38,13.58,13.77,9471400,13.77
2016-12-01,14.57,15.08,14.16,14.83,3579500,14.83
2016-11-01,15.19,15.34,13.74,14.48,7090800,14.48
2016-10-03,15.83,16.709999,15.19,15.26,5021700,15.26
2016-09-01,15.90,16.57,15.76,15.78,4737000,15.616347
2016-08-01,16.60,16.639999,15.64,15.86,5647800,15.695518
2016-07-01,17.879999,18.48,16.309999,16.43,4939100,16.259607
2016-06-01,19.370001,19.76,17.309999,17.85,3897300,17.664881
2016-05-02,18.68,19.530001,18.18,19.440001,2455500,19.030487
2016-04-01,18.860001,20.469999,17.860001,18.799999,4295900,18.403969
2016-03-01,17.209999,19.32,17.120001,19.02,3840300,18.619335
2016-02-01,17.879999,17.90,15.91,16.82,6259900,16.465679
2016-01-04,16.459999,18.07,15.76,17.91,5673400,17.532717
2015-12-01,16.700001,17.059999,15.87,16.75,3124000,16.397154
2015-11-02,18.08,18.610001,15.72,16.68,4187500,16.328629
2015-10-01,19.030001,19.459999,17.24,18.16,5095800,17.777451
2015-09-01,16.950001,19.16,16.75,19.09,4768000,18.521387
2015-08-03,17.00,18.23,15.90,17.15,4419300,16.639172
2015-07-01,15.98,17.90,15.32,16.91,4471300,16.406321
2015-06-01,31.969999,32.720001,15.66,15.85,4581000,15.377894
2015-05-01,31.030001,32.200001,30.51,31.870001,5204600,15.235671
2015-04-01,34.830002,36.439999,30.870001,30.98,8197000,14.8102
2015-03-02,36.709999,37.09,34.380001,35.080002,5414200,16.770233
