Date,Open,High,Low,Close,Adj Close,Volume
2022-01-01,338.299988,343.089996,289.010010,313.260010,312.927979,427237300
2022-02-01,314.559998,328.000000,190.220001,211.029999,210.806335,1128039600
2022-03-01,209.869995,231.149994,185.820007,222.360001,222.124329,733274500
2022-04-01,224.550003,236.860001,169.000000,200.470001,200.257523,672255000
2022-05-01,201.169998,224.300003,176.110001,193.639999,193.434769,680548800
2022-06-01,196.509995,202.029999,154.250000,161.250000,161.079086,685975600
2022-07-01,160.309998,183.850006,154.850006,159.100006,158.931381,586482400
2022-08-01,157.250000,183.100006,155.229996,162.929993,162.757309,551922900
2022-09-01,163.580002,171.389999,134.119995,135.679993,135.536194,635014800
2022-10-01,137.139999,142.389999,92.599998,93.160004,93.061264,1107662200
2022-11-01,94.330002,118.739998,88.089996,118.099998,117.974823,1063791200
2022-12-01,119.199997,124.669998,112.459999,120.339996,120.212448,653019800
2023-01-01,122.820000,153.190002,122.279999,148.970001,148.812103,548770600
2023-02-01,148.029999,197.160004,147.059998,174.940002,174.754593,772170900
2023-03-01,174.589996,212.169998,171.429993,211.940002,211.715363,690053000
2023-04-01,208.839996,241.690002,207.130005,240.320007,240.065292,446687900
2023-05-01,238.619995,268.649994,229.850006,264.720001,264.439423,486968500
2023-06-01,265.899994,289.790009,258.880005,286.980011,286.675842,480979900
2023-07-01,286.700012,326.200012,284.850006,318.600006,318.262329,624605100
2023-08-01,317.540009,324.140015,274.380005,295.890015,295.576416,423147800
2023-09-01,299.369995,312.869995,286.790009,300.209991,299.891815,406686600
2023-10-01,302.739990,330.540009,279.399994,301.269989,300.950684,511307900
2023-11-01,301.850006,342.920013,301.850006,327.149994,326.803253,329270500
2023-12-01,325.480011,361.899994,313.660004,353.959991,353.584839,332813800
2024-01-01,351.320007,406.359985,340.010010,390.140015,389.726501,347020200
2024-02-01,393.940002,494.359985,393.049988,490.130005,489.610535,466151400
2024-03-01,492.109985,523.570007,476.000000,499.750000,499.750000,128691400
2024-03-12,493.260010,502.309998,484.790009,499.750000,499.750000,15339837
