Date,Open,High,Low,Close,Adj Close,Volume
2022-01-01,605.609985,609.989990,351.459991,427.140015,427.140015,241662000
2022-02-01,432.959991,458.480011,354.720001,394.519989,394.519989,151010700
2022-03-01,391.600006,396.500000,329.820007,374.589996,374.589996,119491900
2022-04-01,376.799988,396.019989,185.600006,190.360001,190.360001,403325400
2022-05-01,191.710007,204.380005,162.710007,197.440002,197.440002,251615800
2022-06-01,198.699997,207.380005,164.279999,174.869995,174.869995,192552700
2022-07-01,176.490005,230.750000,169.699997,224.899994,224.899994,270083700
2022-08-01,223.100006,251.990005,218.740005,223.559998,223.559998,152258300
2022-09-01,220.720001,250.490005,214.690002,235.440002,235.440002,233920700
2022-10-01,237.850006,305.630005,211.729996,291.880005,291.880005,335263800
2022-11-01,296.170013,312.709991,252.089996,305.529999,305.529999,185683000
2022-12-01,303.989990,332.720001,273.410004,294.880005,294.880005,193080900
2023-01-01,298.059998,369.019989,288.700012,353.859985,353.859985,206417400
2023-02-01,353.859985,379.429993,314.299988,322.130005,322.130005,123374100
2023-03-01,321.549988,345.839996,285.329987,345.480011,345.480011,157555400
2023-04-01,341.829987,349.799988,316.100006,329.929993,329.929993,127984500
2023-05-01,329.440002,405.109985,315.619995,395.230011,395.230011,145471700
2023-06-01,397.410004,448.649994,393.079987,440.489990,440.489990,147230800
2023-07-01,439.760010,485.000000,411.880005,438.970001,438.970001,168720200
2023-08-01,437.369995,445.250000,398.149994,433.679993,433.679993,107298900
2023-09-01,437.730011,453.450012,371.100006,377.600006,377.600006,100278600
2023-10-01,377.480011,418.839996,344.730011,411.690002,411.690002,164021900
2023-11-01,414.769989,482.700012,414.179993,473.970001,473.970001,71741400
2023-12-01,473.170013,500.890015,445.730011,486.880005,486.880005,80411900
2024-01-01,483.190002,579.640015,461.859985,564.109985,564.109985,145889000
2024-02-01,567.020020,605.359985,549.000000,602.919983,602.919983,71652900
2024-03-01,599.809998,624.419983,592.000000,611.080017,611.080017,24439700
2024-03-12,600.210022,615.299988,596.270020,611.080017,611.080017,2793999
