Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,256.390015,308.50,250.139999,305.059998,1511800,305.059998
2017-01-03,219.380005,257.679993,215.630005,253.899994,953500,253.899994
2016-12-01,225.110001,228.800003,211.110001,215.339996,920700,215.339996
2016-11-01,259.00,259.890015,216.389999,224.100006,1513500,224.100006
2016-10-03,243.740005,272.579987,243.309998,256.98999,1017300,256.133942
2016-09-01,211.899994,254.479996,208.020004,240.779999,1420600,239.977951
2016-08-01,204.25,218.770004,197.00,211.970001,1054200,211.263916
2016-07-01,193.25,210.270004,182.860001,204.270004,1207000,202.860168
2016-06-01,176.009995,193.270004,161.00,193.220001,1314200,191.886429
2016-05-02,139.389999,179.100006,136.449997,177.839996,1958600,176.612564
2016-04-01,142.320007,146.550003,130.820007,140.699997,1130200,139.117416
2016-03-01,136.089996,155.449997,132.600006,143.580002,1277700,141.965027
2016-02-01,155.850006,162.539993,129.600006,134.610001,1236900,132.477234
2016-01-04,172.149994,175.720001,150.50,156.139999,1121000,153.666107
2015-12-01,164.50,186.449997,161.270004,181.240005,1065300,178.368423
2015-11-02,144.75,170.369995,140.800003,166.660004,1867800,164.01944
2015-10-01,120.809998,146.970001,116.010002,144.529999,771000,141.756927
2015-09-01,107.360001,125.470001,106.400002,120.120003,812800,117.815277
2015-08-03,139.100006,149.970001,102.800003,111.18,1047500,109.046806
2015-07-01,143.429993,154.520004,116.080002,138.630005,1143300,135.438431
2015-06-01,143.690002,154.880005,140.360001,144.869995,901600,141.53476
2015-05-01,128.350006,150.300003,122.010002,141.410004,929100,138.154434
2015-04-01,104.730003,128.240005,104.730003,128.190002,674600,124.912003
2015-03-02,101.199997,107.339996,94.169998,105.300003,557800,102.60733
