Date,Open,High,Low,Close,Adj Close,Volume
2023-04-01,47.250000,49.860001,43.500000,48.450001,48.450001,233537400
2023-05-01,48.130001,65.540001,46.080002,57.189999,57.189999,435861000
2023-06-01,56.419998,67.360001,55.419998,64.599998,64.599998,292605200
2023-07-01,65.040001,71.430000,60.509998,67.580002,67.580002,217290100
2023-08-01,66.769997,67.639999,51.200001,66.489998,66.489998,293632100
2023-09-01,66.680000,67.599998,50.590000,54.570000,54.570000,195895900
2023-10-01,54.220001,56.195999,45.500000,47.189999,47.189999,239711300
2023-11-01,47.549999,75.059998,47.160000,72.820000,72.820000,285822400
2023-12-01,72.500000,79.989998,70.040001,77.900002,77.900002,185571500
2024-01-01,76.440002,83.574997,70.614998,80.070000,80.070000,197302000
2024-02-01,79.370003,91.570000,73.849998,76.370003,76.370003,266672400
2024-03-01,77.110001,79.580002,72.639999,76.360001,76.360001,58516000
2024-03-12,75.949997,76.690002,74.581001,76.360001,76.360001,5624155
