Date,Open,High,Low,Close,Adj Close,Volume
2022-01-01,235.250000,247.199997,164.410004,196.259995,196.259995,39915500
2022-02-01,199.130005,208.490005,135.554993,156.190002,156.190002,65053200
2022-03-01,159.339996,159.490005,118.199997,151.020004,151.020004,43474200
2022-04-01,152.539993,160.059998,95.220001,101.650002,101.650002,53868200
2022-05-01,101.169998,115.599998,89.029999,112.769997,112.769997,52691200
2022-06-01,114.019997,119.000000,92.055000,93.830002,93.830002,47335200
2022-07-01,94.680000,121.639999,93.660004,113.019997,113.019997,42493300
2022-08-01,111.440002,126.269997,105.769997,108.150002,108.150002,26536600
2022-09-01,106.059998,113.180000,85.918999,86.300003,86.300003,28043500
2022-10-01,87.500000,98.639999,78.500000,80.580002,80.580002,54254000
2022-11-01,81.599998,86.841003,69.285004,79.419998,79.419998,35443200
2022-12-01,80.250000,87.480003,71.720001,78.949997,78.949997,34776600
2023-01-01,81.879997,113.300003,79.139999,112.720001,112.720001,47395900
2023-02-01,113.370003,128.979996,111.629997,116.300003,116.300003,42875000
2023-03-01,117.919998,134.360001,114.639999,133.619995,133.619995,34720800
2023-04-01,132.369995,145.880005,128.669998,133.600006,133.600006,31599800
2023-05-01,134.000000,152.300003,133.880005,148.899994,148.899994,31357800
2023-06-01,150.199997,161.660004,147.539993,160.550003,160.550003,32755500
2023-07-01,160.850006,182.000000,139.153000,149.410004,149.410004,58865800
2023-08-01,148.610001,154.919998,129.229996,153.970001,153.970001,38396400
2023-09-01,155.559998,167.740005,147.860001,154.639999,154.639999,28193100
2023-10-01,155.289993,173.449997,145.759995,164.759995,164.759995,46118200
2023-11-01,165.000000,185.589996,163.649994,185.110001,185.110001,26627500
2023-12-01,180.729996,202.880005,179.660004,187.910004,187.910004,37893600
2024-01-01,188.050003,224.000000,185.369995,215.350006,215.350006,35367400
2024-02-01,217.250000,257.359985,216.679993,256.410004,256.410004,48265500
2024-03-01,256.149994,272.440002,253.250000,258.089996,258.089996,15536200
2024-03-12,255.500000,259.735992,254.955002,258.089996,258.089996,1309371
